ticker,industry_group
A,"Pharmaceuticals, Biotechnology & Life Sciences"
AA,Materials
AAL,Transportation
AAN,Retailing
AAOI,Technology Hardware & Equipment
AAON,Capital Goods
AAP,Retailing
AAPL,Technology Hardware & Equipment
AAT,Real Estate
AAWW,Transportation
AAXN,Capital Goods
ABBV,"Pharmaceuticals, Biotechnology & Life Sciences"
ABC,Health Care Equipment & Services
ABCB,Banks
ABEO,"Pharmaceuticals, Biotechnology & Life Sciences"
ABG,Retailing
ABM,Commercial & Professional Services
ABMD,Health Care Equipment & Services
ABT,Health Care Equipment & Services
ABTX,Banks
AC,Diversified Financials
ACA,Capital Goods
ACAD,"Pharmaceuticals, Biotechnology & Life Sciences"
ACBI,Banks
ACC,Real Estate
ACCO,Commercial & Professional Services
ACER,"Pharmaceuticals, Biotechnology & Life Sciences"
ACGL,Insurance
ACHC,Health Care Equipment & Services
ACIA,Technology Hardware & Equipment
ACIW,Software & Services
ACLS,Semiconductors & Semiconductor Equipment
ACM,Capital Goods
ACN,Software & Services
ACNB,Banks
ACOR,"Pharmaceuticals, Biotechnology & Life Sciences"
ACRE,Diversified Financials
ACRS,"Pharmaceuticals, Biotechnology & Life Sciences"
ACRX,"Pharmaceuticals, Biotechnology & Life Sciences"
ACTG,Commercial & Professional Services
ADBE,Software & Services
ADC,Real Estate
ADES,Materials
ADI,Semiconductors & Semiconductor Equipment
ADM,"Food, Beverage & Tobacco"
ADMA,"Pharmaceuticals, Biotechnology & Life Sciences"
ADMS,"Pharmaceuticals, Biotechnology & Life Sciences"
ADNT,Automobiles & Components
ADP,Software & Services
ADPT,"Pharmaceuticals, Biotechnology & Life Sciences"
ADRO,"Pharmaceuticals, Biotechnology & Life Sciences"
ADS,Software & Services
ADSK,Software & Services
ADSW,Commercial & Professional Services
ADT,Commercial & Professional Services
ADTN,Technology Hardware & Equipment
ADUS,Health Care Equipment & Services
ADVM,"Pharmaceuticals, Biotechnology & Life Sciences"
AEE,Utilities
AEGN,Capital Goods
AEIS,Semiconductors & Semiconductor Equipment
AEL,Insurance
AEO,Retailing
AEP,Utilities
AERI,"Pharmaceuticals, Biotechnology & Life Sciences"
AES,Utilities
AFG,Insurance
AFI,Capital Goods
AFIN,Real Estate
AFL,Insurance
AFMD,"Pharmaceuticals, Biotechnology & Life Sciences"
AGCO,Capital Goods
AGE,"Pharmaceuticals, Biotechnology & Life Sciences"
AGEN,"Pharmaceuticals, Biotechnology & Life Sciences"
AGIO,"Pharmaceuticals, Biotechnology & Life Sciences"
AGLE,"Pharmaceuticals, Biotechnology & Life Sciences"
AGM,Banks
AGNC,Diversified Financials
AGO,Insurance
AGR,Utilities
AGS,Consumer Services
AGX,Capital Goods
AGYS,Software & Services
AHH,Real Estate
AHT,Real Estate
AI,Diversified Financials
AIG,Insurance
AIMC,Capital Goods
AIMT,"Pharmaceuticals, Biotechnology & Life Sciences"
AIN,Capital Goods
AIR,Capital Goods
AIRG,Technology Hardware & Equipment
AIT,Capital Goods
AIV,Real Estate
AIZ,Insurance
AJG,Insurance
AJRD,Capital Goods
AJX,Diversified Financials
AKAM,Software & Services
AKBA,"Pharmaceuticals, Biotechnology & Life Sciences"
AKCA,"Pharmaceuticals, Biotechnology & Life Sciences"
AKR,Real Estate
AKRO,"Pharmaceuticals, Biotechnology & Life Sciences"
AKRX,"Pharmaceuticals, Biotechnology & Life Sciences"
AKTS,Technology Hardware & Equipment
AL,Capital Goods
ALB,Materials
ALBO,"Pharmaceuticals, Biotechnology & Life Sciences"
ALCO,"Food, Beverage & Tobacco"
ALDX,"Pharmaceuticals, Biotechnology & Life Sciences"
ALE,Utilities
ALEC,"Pharmaceuticals, Biotechnology & Life Sciences"
ALEX,Real Estate
ALG,Capital Goods
ALGN,Health Care Equipment & Services
ALGT,Transportation
ALK,Transportation
ALKS,"Pharmaceuticals, Biotechnology & Life Sciences"
ALL,Insurance
ALLE,Capital Goods
ALLK,"Pharmaceuticals, Biotechnology & Life Sciences"
ALLO,"Pharmaceuticals, Biotechnology & Life Sciences"
ALLY,Diversified Financials
ALNY,"Pharmaceuticals, Biotechnology & Life Sciences"
ALOT,Technology Hardware & Equipment
ALRM,Software & Services
ALRS,Diversified Financials
ALSN,Capital Goods
ALTM,Energy
ALTR,Software & Services
ALX,Real Estate
ALXN,"Pharmaceuticals, Biotechnology & Life Sciences"
AM,Energy
AMAG,"Pharmaceuticals, Biotechnology & Life Sciences"
AMAL,Banks
AMAT,Semiconductors & Semiconductor Equipment
AMBA,Semiconductors & Semiconductor Equipment
AMBC,Insurance
AMC,Media & Entertainment
AMCX,Media & Entertainment
AMD,Semiconductors & Semiconductor Equipment
AME,Capital Goods
AMED,Health Care Equipment & Services
AMEH,Health Care Equipment & Services
AMG,Diversified Financials
AMGN,"Pharmaceuticals, Biotechnology & Life Sciences"
AMH,Real Estate
AMK,Diversified Financials
AMKR,Semiconductors & Semiconductor Equipment
AMN,Health Care Equipment & Services
AMNB,Banks
AMOT,Capital Goods
AMP,Diversified Financials
AMPH,"Pharmaceuticals, Biotechnology & Life Sciences"
AMPY,Energy
AMRC,Capital Goods
AMRS,Materials
AMRX,"Pharmaceuticals, Biotechnology & Life Sciences"
AMSC,Capital Goods
AMSF,Insurance
AMSWA,Software & Services
AMT,Real Estate
AMTB,Banks
AMTD,Diversified Financials
AMWD,Capital Goods
AMZN,Retailing
AN,Retailing
ANAB,"Pharmaceuticals, Biotechnology & Life Sciences"
ANAT,Insurance
ANDE,Food & Staples Retailing
ANET,Technology Hardware & Equipment
ANF,Retailing
ANGO,Health Care Equipment & Services
ANH,Diversified Financials
ANIK,"Pharmaceuticals, Biotechnology & Life Sciences"
ANIP,"Pharmaceuticals, Biotechnology & Life Sciences"
ANSS,Software & Services
ANTM,Health Care Equipment & Services
AOBC,Consumer Durables & Apparel
AON,Insurance
AOS,Capital Goods
AOSL,Semiconductors & Semiconductor Equipment
APA,Energy
APAM,Diversified Financials
APD,Materials
APEI,Consumer Services
APH,Technology Hardware & Equipment
APLE,Real Estate
APLS,"Pharmaceuticals, Biotechnology & Life Sciences"
APLT,"Pharmaceuticals, Biotechnology & Life Sciences"
APOG,Capital Goods
APPF,Software & Services
APPN,Software & Services
APPS,Software & Services
APRE,"Pharmaceuticals, Biotechnology & Life Sciences"
APTS,Real Estate
APTV,Automobiles & Components
APY,Energy
APYX,Health Care Equipment & Services
AQUA,Capital Goods
AR,Energy
ARA,Health Care Equipment & Services
ARAY,Health Care Equipment & Services
ARCB,Transportation
ARCH,Energy
ARD,Materials
ARDX,"Pharmaceuticals, Biotechnology & Life Sciences"
ARE,Real Estate
ARES,Diversified Financials
ARGO,Insurance
ARI,Diversified Financials
ARL,Real Estate
ARLO,Technology Hardware & Equipment
ARMK,Consumer Services
ARNA,"Pharmaceuticals, Biotechnology & Life Sciences"
ARNC,Materials
AROC,Energy
AROW,Banks
ARQT,"Pharmaceuticals, Biotechnology & Life Sciences"
ARR,Diversified Financials
ARTNA,Utilities
ARVN,"Pharmaceuticals, Biotechnology & Life Sciences"
ARW,Technology Hardware & Equipment
ARWR,"Pharmaceuticals, Biotechnology & Life Sciences"
ASB,Banks
ASC,Energy
ASGN,Commercial & Professional Services
ASH,Materials
ASIX,Materials
ASMB,"Pharmaceuticals, Biotechnology & Life Sciences"
ASNA,Retailing
ASPS,Real Estate
ASRT,"Pharmaceuticals, Biotechnology & Life Sciences"
ASTE,Capital Goods
AT,Utilities
ATEC,Health Care Equipment & Services
ATEN,Software & Services
ATEX,Telecommunication Services
ATGE,Consumer Services
ATH,Insurance
ATHX,"Pharmaceuticals, Biotechnology & Life Sciences"
ATI,Materials
ATKR,Capital Goods
ATLO,Banks
ATNI,Telecommunication Services
ATNX,"Pharmaceuticals, Biotechnology & Life Sciences"
ATO,Utilities
ATR,Materials
ATRA,"Pharmaceuticals, Biotechnology & Life Sciences"
ATRC,Health Care Equipment & Services
ATRI,Health Care Equipment & Services
ATRO,Capital Goods
ATRS,Health Care Equipment & Services
ATSG,Transportation
ATUS,Media & Entertainment
ATVI,Media & Entertainment
AUB,Banks
AVA,Utilities
AVAV,Capital Goods
AVB,Real Estate
AVCO,Health Care Equipment & Services
AVD,Materials
AVGO,Semiconductors & Semiconductor Equipment
AVID,Technology Hardware & Equipment
AVLR,Software & Services
AVNS,Health Care Equipment & Services
AVRO,"Pharmaceuticals, Biotechnology & Life Sciences"
AVT,Technology Hardware & Equipment
AVTR,"Pharmaceuticals, Biotechnology & Life Sciences"
AVXL,"Pharmaceuticals, Biotechnology & Life Sciences"
AVY,Materials
AVYA,Software & Services
AWI,Capital Goods
AWK,Utilities
AWR,Utilities
AX,Banks
AXAS,Energy
AXDX,Health Care Equipment & Services
AXE,Technology Hardware & Equipment
AXGN,Health Care Equipment & Services
AXL,Automobiles & Components
AXLA,"Pharmaceuticals, Biotechnology & Life Sciences"
AXNX,Health Care Equipment & Services
AXP,Diversified Financials
AXS,Insurance
AXSM,"Pharmaceuticals, Biotechnology & Life Sciences"
AXTA,Materials
AXTI,Semiconductors & Semiconductor Equipment
AYI,Capital Goods
AYX,Software & Services
AZO,Retailing
AZPN,Software & Services
AZZ,Capital Goods
B,Capital Goods
BA,Capital Goods
BAC,Banks
BAH,Software & Services
BANC,Banks
BAND,Telecommunication Services
BANF,Banks
BANR,Banks
BATRA,Media & Entertainment
BATRK,Media & Entertainment
BAX,Health Care Equipment & Services
BBBY,Retailing
BBCP,Capital Goods
BBIO,"Pharmaceuticals, Biotechnology & Life Sciences"
BBSI,Commercial & Professional Services
BBX,Consumer Services
BBY,Retailing
BC,Consumer Durables & Apparel
BCBP,Banks
BCC,Materials
BCEI,Energy
BCEL,"Pharmaceuticals, Biotechnology & Life Sciences"
BCML,Banks
BCO,Commercial & Professional Services
BCOR,Diversified Financials
BCOV,Software & Services
BCPC,Materials
BCRX,"Pharmaceuticals, Biotechnology & Life Sciences"
BDC,Technology Hardware & Equipment
BDGE,Banks
BDN,Real Estate
BDSI,"Pharmaceuticals, Biotechnology & Life Sciences"
BDTX,"Pharmaceuticals, Biotechnology & Life Sciences"
BDX,Health Care Equipment & Services
BE,Capital Goods
BEAM,"Pharmaceuticals, Biotechnology & Life Sciences"
BEAT,Health Care Equipment & Services
BECN,Capital Goods
BELFB,Technology Hardware & Equipment
BEN,Diversified Financials
BERY,Materials
BF/A,"Food, Beverage & Tobacco"
BF/B,"Food, Beverage & Tobacco"
BFAM,Consumer Services
BFC,Banks
BFIN,Banks
BFS,Real Estate
BFST,Banks
BFYT,Insurance
BG,"Food, Beverage & Tobacco"
BGCP,Diversified Financials
BGG,Capital Goods
BGS,"Food, Beverage & Tobacco"
BGSF,Commercial & Professional Services
BH,Consumer Services
BHB,Banks
BHE,Technology Hardware & Equipment
BHF,Insurance
BHLB,Banks
BHR,Real Estate
BHVN,"Pharmaceuticals, Biotechnology & Life Sciences"
BIG,Retailing
BIIB,"Pharmaceuticals, Biotechnology & Life Sciences"
BILL,Software & Services
BIO,"Pharmaceuticals, Biotechnology & Life Sciences"
BJ,Food & Staples Retailing
BJRI,Consumer Services
BK,Diversified Financials
BKD,Health Care Equipment & Services
BKE,Retailing
BKH,Utilities
BKI,Software & Services
BKNG,Retailing
BKR,Energy
BKU,Banks
BL,Software & Services
BLBD,Capital Goods
BLD,Consumer Durables & Apparel
BLDR,Capital Goods
BLFS,Health Care Equipment & Services
BLK,Diversified Financials
BLKB,Software & Services
BLL,Materials
BLMN,Consumer Services
BLUE,"Pharmaceuticals, Biotechnology & Life Sciences"
BLX,Diversified Financials
BMCH,Capital Goods
BMI,Technology Hardware & Equipment
BMRC,Banks
BMRN,"Pharmaceuticals, Biotechnology & Life Sciences"
BMTC,Banks
BMY,"Pharmaceuticals, Biotechnology & Life Sciences"
BNED,Retailing
BNFT,Software & Services
BOCH,Banks
BOH,Banks
BOKF,Banks
BOMN,Media & Entertainment
BOOM,Energy
BOOT,Retailing
BOX,Software & Services
BPFH,Banks
BPMC,"Pharmaceuticals, Biotechnology & Life Sciences"
BPOP,Banks
BPRN,Banks
BPYU,Real Estate
BR,Software & Services
BRBR,Household & Personal Products
BRC,Commercial & Professional Services
BREW,"Food, Beverage & Tobacco"
BRG,Real Estate
BRID,"Food, Beverage & Tobacco"
BRK/B,Diversified Financials
BRKL,Banks
BRKR,"Pharmaceuticals, Biotechnology & Life Sciences"
BRKS,Semiconductors & Semiconductor Equipment
BRO,Insurance
BRP,Insurance
BRT,Real Estate
BRX,Real Estate
BRY,Energy
BSET,Consumer Durables & Apparel
BSGM,Health Care Equipment & Services
BSIG,Diversified Financials
BSRR,Banks
BSTC,"Pharmaceuticals, Biotechnology & Life Sciences"
BSVN,Banks
BSX,Health Care Equipment & Services
BTAI,"Pharmaceuticals, Biotechnology & Life Sciences"
BTU,Energy
BURL,Retailing
BUSE,Banks
BV,Commercial & Professional Services
BWA,Automobiles & Components
BWB,Banks
BWFG,Banks
BWXT,Capital Goods
BXC,Capital Goods
BXG,Consumer Services
BXMT,Diversified Financials
BXP,Real Estate
BXRX,"Pharmaceuticals, Biotechnology & Life Sciences"
BXS,Banks
BY,Banks
BYD,Consumer Services
BYND,"Food, Beverage & Tobacco"
BYSI,"Pharmaceuticals, Biotechnology & Life Sciences"
BZH,Consumer Durables & Apparel
C,Banks
CABA,"Pharmaceuticals, Biotechnology & Life Sciences"
CABO,Media & Entertainment
CAC,Banks
CACC,Diversified Financials
CACI,Software & Services
CADE,Banks
CAG,"Food, Beverage & Tobacco"
CAH,Health Care Equipment & Services
CAI,Capital Goods
CAKE,Consumer Services
CAL,Retailing
CALA,"Pharmaceuticals, Biotechnology & Life Sciences"
CALM,"Food, Beverage & Tobacco"
CALX,Technology Hardware & Equipment
CAMP,Technology Hardware & Equipment
CAR,Transportation
CARA,"Pharmaceuticals, Biotechnology & Life Sciences"
CARE,Banks
CARG,Media & Entertainment
CARR,Capital Goods
CARS,Media & Entertainment
CASA,Technology Hardware & Equipment
CASH,Banks
CASI,"Pharmaceuticals, Biotechnology & Life Sciences"
CASS,Software & Services
CASY,Food & Staples Retailing
CAT,Capital Goods
CATC,Banks
CATM,Software & Services
CATO,Retailing
CATS,Health Care Equipment & Services
CATY,Banks
CB,Insurance
CBAN,Banks
CBAY,"Pharmaceuticals, Biotechnology & Life Sciences"
CBB,Telecommunication Services
CBL,Real Estate
CBMG,"Pharmaceuticals, Biotechnology & Life Sciences"
CBNK,Banks
CBOE,Diversified Financials
CBRE,Real Estate
CBRL,Consumer Services
CBSH,Banks
CBT,Materials
CBTX,Banks
CBU,Banks
CBZ,Commercial & Professional Services
CC,Materials
CCB,Banks
CCBG,Banks
CCF,Materials
CCI,Real Estate
CCK,Materials
CCL,Consumer Services
CCMP,Semiconductors & Semiconductor Equipment
CCNE,Banks
CCO,Media & Entertainment
CCOI,Telecommunication Services
CCRN,Health Care Equipment & Services
CCS,Consumer Durables & Apparel
CCXI,"Pharmaceuticals, Biotechnology & Life Sciences"
CDAY,Software & Services
CDE,Materials
CDEV,Energy
CDK,Software & Services
CDLX,Media & Entertainment
CDMO,"Pharmaceuticals, Biotechnology & Life Sciences"
CDNA,"Pharmaceuticals, Biotechnology & Life Sciences"
CDNS,Software & Services
CDR,Real Estate
CDW,Technology Hardware & Equipment
CDXC,"Pharmaceuticals, Biotechnology & Life Sciences"
CDXS,"Pharmaceuticals, Biotechnology & Life Sciences"
CDZI,Utilities
CE,Materials
CECE,Commercial & Professional Services
CEIX,Energy
CELC,"Pharmaceuticals, Biotechnology & Life Sciences"
CELH,"Food, Beverage & Tobacco"
CENT,Household & Personal Products
CENTA,Household & Personal Products
CENX,Materials
CERC,"Pharmaceuticals, Biotechnology & Life Sciences"
CERN,Health Care Equipment & Services
CERS,Health Care Equipment & Services
CETV,Media & Entertainment
CEVA,Semiconductors & Semiconductor Equipment
CF,Materials
CFB,Banks
CFFI,Banks
CFFN,Banks
CFG,Banks
CFMS,Health Care Equipment & Services
CFR,Banks
CFX,Capital Goods
CGNX,Technology Hardware & Equipment
CHAP,Energy
CHCO,Banks
CHCT,Real Estate
CHD,Household & Personal Products
CHDN,Consumer Services
CHE,Health Care Equipment & Services
CHEF,Food & Staples Retailing
CHGG,Consumer Services
CHH,Consumer Services
CHK,Energy
CHMA,"Pharmaceuticals, Biotechnology & Life Sciences"
CHMG,Banks
CHMI,Diversified Financials
CHNG,Health Care Equipment & Services
CHRA,Commercial & Professional Services
CHRS,"Pharmaceuticals, Biotechnology & Life Sciences"
CHRW,Transportation
CHS,Retailing
CHTR,Media & Entertainment
CHUY,Consumer Services
CI,Health Care Equipment & Services
CIA,Insurance
CIEN,Technology Hardware & Equipment
CIM,Diversified Financials
CINF,Insurance
CIO,Real Estate
CIR,Capital Goods
CIT,Banks
CIVB,Banks
CIX,Commercial & Professional Services
CKH,Energy
CKPT,"Pharmaceuticals, Biotechnology & Life Sciences"
CL,Household & Personal Products
CLAR,Consumer Durables & Apparel
CLBK,Banks
CLCT,Consumer Services
CLDR,Software & Services
CLDT,Real Estate
CLF,Materials
CLFD,Technology Hardware & Equipment
CLGX,Commercial & Professional Services
CLH,Commercial & Professional Services
CLI,Real Estate
CLNC,Diversified Financials
CLNE,Energy
CLNY,Real Estate
CLPR,Real Estate
CLR,Energy
CLVS,"Pharmaceuticals, Biotechnology & Life Sciences"
CLW,Materials
CLX,Household & Personal Products
CLXT,"Pharmaceuticals, Biotechnology & Life Sciences"
CMA,Banks
CMBM,Technology Hardware & Equipment
CMC,Materials
CMCO,Capital Goods
CMCSA,Media & Entertainment
CMCT,Real Estate
CMD,Health Care Equipment & Services
CME,Diversified Financials
CMG,Consumer Services
CMI,Capital Goods
CMLS,Media & Entertainment
CMO,Diversified Financials
CMP,Materials
CMPR,Commercial & Professional Services
CMRE,Transportation
CMRX,"Pharmaceuticals, Biotechnology & Life Sciences"
CMS,Utilities
CMTL,Technology Hardware & Equipment
CNA,Insurance
CNBKA,Banks
CNC,Health Care Equipment & Services
CNCE,"Pharmaceuticals, Biotechnology & Life Sciences"
CNDT,Software & Services
CNK,Media & Entertainment
CNMD,Health Care Equipment & Services
CNNE,Diversified Financials
CNO,Insurance
CNOB,Banks
CNP,Utilities
CNR,Capital Goods
CNS,Diversified Financials
CNSL,Telecommunication Services
CNST,"Pharmaceuticals, Biotechnology & Life Sciences"
CNTG,"Pharmaceuticals, Biotechnology & Life Sciences"
CNTY,Consumer Services
CNX,Energy
CNXN,Technology Hardware & Equipment
CODA,Technology Hardware & Equipment
COF,Diversified Financials
COG,Energy
COHR,Technology Hardware & Equipment
COHU,Semiconductors & Semiconductor Equipment
COKE,"Food, Beverage & Tobacco"
COLB,Banks
COLD,Real Estate
COLL,"Pharmaceuticals, Biotechnology & Life Sciences"
COLM,Consumer Durables & Apparel
COMM,Technology Hardware & Equipment
CONE,Real Estate
CONN,Retailing
COO,Health Care Equipment & Services
COOP,Banks
COP,Energy
COR,Real Estate
CORE,Retailing
CORR,Real Estate
CORT,"Pharmaceuticals, Biotechnology & Life Sciences"
COST,Food & Staples Retailing
COTY,Household & Personal Products
COUP,Software & Services
COWN,Diversified Financials
CPA,Transportation
CPB,"Food, Beverage & Tobacco"
CPE,Energy
CPF,Banks
CPK,Utilities
CPLG,Real Estate
CPRI,Consumer Durables & Apparel
CPRT,Commercial & Professional Services
CPRX,"Pharmaceuticals, Biotechnology & Life Sciences"
CPS,Automobiles & Components
CPSI,Health Care Equipment & Services
CPT,Real Estate
CR,Capital Goods
CRAI,Commercial & Professional Services
CRBP,"Pharmaceuticals, Biotechnology & Life Sciences"
CRC,Energy
CRD/A,Insurance
CREE,Semiconductors & Semiconductor Equipment
CRI,Consumer Durables & Apparel
CRK,Energy
CRL,"Pharmaceuticals, Biotechnology & Life Sciences"
CRM,Software & Services
CRMD,"Pharmaceuticals, Biotechnology & Life Sciences"
CRMT,Retailing
CRNC,Software & Services
CRNX,"Pharmaceuticals, Biotechnology & Life Sciences"
CROX,Consumer Durables & Apparel
CRS,Materials
CRTX,"Pharmaceuticals, Biotechnology & Life Sciences"
CRUS,Semiconductors & Semiconductor Equipment
CRVL,Health Care Equipment & Services
CRY,Health Care Equipment & Services
CSCO,Technology Hardware & Equipment
CSFL,Banks
CSGP,Commercial & Professional Services
CSGS,Software & Services
CSII,Health Care Equipment & Services
CSL,Capital Goods
CSLT,Health Care Equipment & Services
CSOD,Software & Services
CSPR,Consumer Durables & Apparel
CSTE,Capital Goods
CSTL,"Pharmaceuticals, Biotechnology & Life Sciences"
CSTR,Banks
CSV,Consumer Services
CSWI,Capital Goods
CSX,Transportation
CTAS,Commercial & Professional Services
CTB,Automobiles & Components
CTBI,Banks
CTL,Telecommunication Services
CTLT,"Pharmaceuticals, Biotechnology & Life Sciences"
